iter	Passed	Remaining
1298	329538	177834
1299	329794	177581
1300	330050	177329
1301	330314	177081
1302	330572	176829
1303	330811	176568
1304	331070	176317
1305	331315	176059
1306	331577	175809
1307	331824	175552
1308	332064	175291
1309	332317	175037
1310	332560	174778
1311	332808	174521
1312	333068	174270
1313	333315	174013
1314	333578	173765
1315	333816	173503
1316	334055	173242
1317	334303	172985
1318	334557	172732
1319	334810	172477
1320	335069	172227
1321	335324	171974
1322	335573	171718
1323	335842	171472
1324	336105	171223
1325	336369	170975
1326	336619	170719
1327	336856	170457
1328	337104	170201
1329	337369	169952
1330	337622	169698
1331	337890	169452
1332	338154	169204
1333	338410	168951
1334	338664	168698
1335	338918	168444
1336	339159	168184
1337	339402	167925
1338	339663	167675
1339	339903	167415
1340	340155	167160
1341	340417	166911
1342	340673	166658
1343	340924	166403
1344	341178	166150
1345	341433	165897
1346	341683	165641
1347	341954	165396
1348	342223	165149
1349	342461	164889
1350	342721	164638
1351	342966	164380
1352	343235	164134
1353	343480	163876
1354	343724	163617
1355	343987	163368
1356	344238	163113
1357	344488	162858
1358	344732	162600
1359	344979	162343
1360	345224	162085
1361	345479	161832
1362	345726	161575
1363	345987	161325
1364	346237	161070
1365	346497	160819
1366	346743	160562
1367	347007	160313
1368	347269	160063
1369	347524	159810
1370	347759	159548
1371	348023	159299
1372	348281	159047
1373	348544	158798
1374	348784	158538
1375	349033	158282
1376	349276	158024
1377	349514	157763
1378	349766	157509
1379	350019	157254
1380	350279	157004
1381	350532	156750
1382	350782	156495
1383	351020	156234
1384	351284	155985
1385	351543	155734
1386	351793	155478
1387	352042	155223
1388	352308	154975
1389	352576	154727
1390	352832	154475
1391	353095	154225
1392	353360	153977
1393	353600	153717
1394	353842	153458
1395	354094	153204
1396	354341	152947
1397	354580	152687
1398	354823	152429
1399	355076	152175
1400	355331	151922
1401	355593	151672
1402	355843	151417
1403	356079	151156
1404	356339	150905
1405	356589	150650
1406	356838	150394
1407	357085	150138
1408	357327	149879
1409	357592	149630
1410	357837	149373
1411	358082	149116
1412	358333	148861
1413	358610	148617
1414	358869	148366
1415	359125	148114
1416	359388	147864
1417	359634	147607
1418	359867	147345
1419	360136	147097
1420	360412	146853
1421	360669	146601
1422	360912	146343
1423	361171	146091
1424	361409	145831
1425	361666	145579
1426	361909	145321
1427	362156	145065
1428	362406	144810
1429	362644	144550
1430	362894	144295
1431	363155	144044
1432	363402	143788
1433	363650	143532
1434	363903	143278
1435	364169	143030
1436	364412	142772
1437	364669	142520
1438	364916	142264
1439	365179	142014
1440	365459	141770
1441	365727	141522
1442	366001	141276
1443	366284	141034
1444	366544	140783
1445	366795	140528
1446	367060	140279
1447	367374	140048
1448	367644	139801
1449	367914	139553
1450	368167	139299
1451	368432	139050
1452	368697	138800
1453	368981	138558
1454	369245	138308
1455	369507	138057
1456	369758	137803
1457	370008	137547
1458	370269	137296
1459	370522	137042
1460	370790	136794
1461	371065	136547
1462	371334	136299
1463	371598	136049
1464	371860	135798
1465	372128	135550
1466	372392	135299
1467	372649	135047
1468	372927	134802
1469	373179	134547
1470	373432	134293
1471	373693	134042
1472	374006	133809
1473	374255	133553
1474	374511	133300
1475	374758	133044
1476	375023	132794
1477	375274	132539
1478	375539	132289
1479	375815	132043
1480	376066	131788
1481	376326	131536
1482	376574	131280
1483	376841	131031
1484	377081	130772
1485	377342	130520
1486	377611	130272
1487	377878	130022
1488	378148	129774
1489	378432	129530
1490	378701	129281
1491	378978	129035
1492	379254	128788
1493	379515	128537
1494	379808	128296
1495	380078	128047
1496	380362	127803
1497	380627	127553
1498	380936	127317
1499	381224	127074
1500	381501	126828
1501	381783	126583
1502	382045	126331
1503	382289	126074
1504	382548	125821
1505	382808	125569
1506	383073	125318
1507	383333	125066
1508	383584	124811
1509	383846	124559
1510	384104	124306
1511	384372	124056
1512	384625	123801
1513	384885	123549
1514	385140	123295
1515	385390	123040
1516	385643	122785
1517	385912	122536
1518	386156	122278
1519	386433	122031
1520	386709	121784
1521	386984	121536
1522	387247	121285
1523	387506	121032
1524	387749	120774
1525	388013	120523
1526	388280	120273
1527	388559	120026
1528	388821	119774
1529	389148	119542
1530	389443	119300
1531	389740	119059
1532	390003	118807
1533	390285	118561
1534	390559	118312
1535	390812	118058
1536	391089	117810
1537	391367	117562
1538	391624	117309
1539	391871	117052
1540	392135	116801
1541	392388	116545
1542	392651	116294
1543	392913	116041
1544	393176	115789
1545	393430	115535
1546	393678	115278
1547	393935	115025
1548	394240	114785
1549	394505	114533
1550	394773	114283
1551	395052	114035
1552	395342	113791
1553	395636	113548
1554	395919	113301
1555	396172	113046
1556	396413	112788
1557	396663	112532
1558	396931	112281
1559	397178	112024
1560	397446	111773
1561	397718	111524
1562	397981	111271
1563	398232	111016
1564	398488	110761
1565	398751	110509
1566	399007	110255
1567	399268	110002
1568	399526	109748
1569	399794	109497
1570	400050	109243
1571	400307	108989
1572	400560	108734
1573	400822	108481
1574	401077	108227
1575	401321	107969
1576	401572	107714
1577	401827	107459
1578	402072	107202
1579	402344	106952
1580	402593	106696
1581	402859	106444
1582	403109	106188
1583	403373	105936
1584	403620	105679
1585	403884	105427
1586	404149	105175
1587	404395	104918
1588	404651	104664
1589	404896	104407
1590	405147	104151
1591	405403	103897
1592	405660	103643
1593	405911	103387
1594	406154	103130
1595	406404	102874
1596	406646	102616
1597	406902	102362
1598	407177	102112
1599	407429	101857
1600	407680	101601
1601	407933	101346
1602	408193	101093
1603	408453	100840
